spec,dv,country,term,estimate,std_error,t_value,p_value
Baseline (p=3),p90p100,Guatemala,gdp_x_debt,-0.03256785474581696,0.2083575575428604,-0.15630752793364625,0.876688744144164
Baseline (p=3),p90p100,Guyana,(Intercept),0.15524953385262172,0.09154009019738879,1.6959731361183459,0.09876999136974798
Baseline (p=3),p90p100,Guyana,"L(p90p100, 1)",0.8311001467639768,0.10588134426521438,7.849353939842464,3.1707586810711483e-9
Baseline (p=3),p90p100,Guyana,public_debt,-7.806695342799126e-4,0.0012783406711049277,-0.6106897417299135,0.5453506322768427
Baseline (p=3),p90p100,Guyana,growth,-0.015083852566789053,0.0186964220050261,-0.8067774980011743,0.42524323585093815
Baseline (p=3),p90p100,Guyana,life_exp,-9.574448026428597e-4,6.182808579754278e-4,-1.5485596720203025,0.13048345783982349
Baseline (p=3),p90p100,Guyana,gdp_x_debt,0.01265067835983133,0.011801362053487967,1.0719676510638314,0.29107075133154575
Baseline (p=3),p90p100,Haiti,(Intercept),0.05986829911691896,0.04933449508652909,1.2135180265231122,0.2330578807930304
Baseline (p=3),p90p100,Haiti,"L(p90p100, 1)",0.9159088734778685,0.08132440448140571,11.262411072278864,3.456473356754916e-13
Baseline (p=3),p90p100,Haiti,public_debt,6.262827825234951e-4,0.0028643144648727555,0.21865014830043011,0.828192574629662
Baseline (p=3),p90p100,Haiti,growth,5.202430099009483e-4,0.01604366382042775,0.03242669602927879,0.9743159916451898
Baseline (p=3),p90p100,Haiti,life_exp,-2.559895358804005e-4,1.5479480126620804e-4,-1.6537347106390416,0.10712433653432105
Baseline (p=3),p90p100,Haiti,gdp_x_debt,0.00260163297445037,0.049220632539014805,0.05285655303978839,0.9581467428795344
Baseline (p=3),p90p100,Honduras,(Intercept),0.057790470192847256,0.05293521915699144,1.0917206183931432,0.2824142899402267
