country,iso,debt_obs,debt_missing,debt_pct_obs,n_from_gg,n_from_cg,max_consec_gap,reason,gini_obs,gini_missing,gini_pct_obs,gini_mean_sd
Bulgaria,NA,NA,NA,NA,NA,NA,NA,gini missing: 5 of 36,31,5,86.1,1.23
Burkina Faso,NA,NA,NA,NA,NA,NA,NA,gini missing: 10 of 36,26,10,72.2,2.52
Burundi,NA,NA,NA,NA,NA,NA,NA,gini missing: 8 of 36,28,8,77.8,3.29
C̫te d'Ivoire,NA,NA,NA,NA,NA,NA,NA,gini missing: 1 of 36,35,1,97.2,1.76
Cambodia,NA,NA,NA,NA,NA,NA,NA,gini missing: 20 of 36,16,20,44.4,3.87
Cameroon,NA,NA,NA,NA,NA,NA,NA,gini missing: 12 of 36,24,12,66.7,2.87
Cape Verde,NA,NA,NA,NA,NA,NA,NA,gini missing: 19 of 36,17,19,47.2,2.71
Central African Republic,NA,NA,NA,NA,NA,NA,NA,gini missing: 8 of 36,28,8,77.8,3.7
Chad,NA,NA,NA,NA,NA,NA,NA,gini missing: 19 of 36,17,19,47.2,3.34
Comoros,NA,NA,NA,NA,NA,NA,NA,gini missing: 25 of 36,11,25,30.6,4.56
Congo-Brazzaville,NA,NA,NA,NA,NA,NA,NA,gini missing: 29 of 36,7,29,19.4,4.18
